,loss,Q
166,3.778038035306963e-06,-0.014493877999484539
167,4.195139990770258e-05,-0.015166112221777439
168,1.1985674973402638e-05,-0.015056885778903961
169,7.450951670762151e-05,-0.013391172513365746
170,9.871110705717001e-06,-0.0020683184266090393
171,8.257411536760628e-06,-0.012319216504693031
172,1.9997166589291737e-07,0.3027144968509674
173,8.086117873062904e-07,-0.013748293742537498
174,0.00017661463061813265,-0.014482414349913597
175,6.772992946935119e-06,-0.01436634361743927
176,5.4588294005952775e-05,-0.014728479087352753
177,2.415422841295367e-06,-0.01604599878191948
178,3.292018391221063e-06,-0.014259099960327148
179,0.0015983788762241602,-0.014943310990929604
180,0.0006543720373883843,-0.01471845805644989
181,5.49344213141012e-06,-0.015113775618374348
182,4.2369896391392103e-07,-0.0142598245292902
183,1.7586467947694473e-05,-0.015203042887151241
184,3.7102865917404415e-06,-0.014937319792807102
185,0.0003429260686971247,-0.014525944367051125
186,0.0001052232546498999,-0.01532085333019495
187,0.00012782202975358814,-0.014543223194777966
188,0.00032940704841166735,-0.013115956448018551
189,0.0010198878590017557,0.4921940267086029
190,8.641713833412723e-08,-0.014499308541417122
191,1.7683280020719394e-05,-0.014733036048710346
192,0.0010953590972349048,-0.014545424841344357
193,5.6986373238032684e-05,-0.013555956073105335
194,6.853988452348858e-05,-0.014508550055325031
195,0.003958850167691708,-0.014706588350236416
196,2.6853687813854776e-05,-0.014937794767320156
197,0.0009903088212013245,-0.0141291543841362
198,0.00015213698497973382,-0.01376514695584774
199,3.373982690391131e-05,-0.0144956074655056
200,6.319895419437671e-06,-0.013637729920446873
201,2.6460843400855083e-06,-0.014388401992619038
202,2.127730795109528e-06,-0.22000420093536377
203,0.00021057319827377796,-0.01696171425282955
204,0.0011343315709382296,-0.013303130865097046
205,6.57475357002113e-06,-0.015312415547668934
206,0.00044035675819031894,-0.013549933210015297
207,0.00012243374658282846,-0.014788958244025707
208,4.623727727448568e-05,-0.013847214169800282
209,2.2315718979371013e-06,-0.014234437607228756
210,0.00012867637269664556,-0.01430712640285492
211,3.7079752246427233e-07,-0.01282864436507225
212,0.00018426014867145568,-0.015066638588905334
213,0.0027634764555841684,-0.014313539490103722
214,0.0007585364510305226,-0.015011548064649105
215,2.060392034763936e-05,-0.9965938329696655
216,1.3122190694048186e-06,-0.014939486980438232
217,3.117267169727711e-06,-0.012615340761840343
218,1.5331124814110808e-07,-0.014696980826556683
219,9.18498062674189e-06,-0.012661216780543327
220,1.3139613201929023e-06,-0.014264026656746864
221,0.0003984729410149157,-0.014091240242123604
222,2.5776724214665592e-05,-0.014189990237355232
223,1.916522887768224e-05,-0.014527803286910057
224,2.6593712391331792e-05,-0.01368482131510973
225,0.00036244429065845907,-0.014577732421457767
226,0.00023821859213057905,-0.01443904172629118
227,4.08641790272668e-06,-0.014033647254109383
228,1.2731798051390797e-06,-0.014429593458771706
229,2.7039646738558076e-05,-0.014026385731995106
230,3.180773273925297e-05,0.005187362432479858
231,9.38970117658755e-07,-0.013387991115450859
232,0.001330762286670506,-0.014125688932836056
233,4.319606887293048e-06,-0.014219125732779503
234,1.768025140336249e-05,-0.014156068675220013
235,8.65450783749111e-06,-0.015274446457624435
236,0.0003718598745763302,-0.011591553688049316
237,0.00021363524137996137,-0.014167488552629948
238,1.3407610822468996e-05,-0.013679848983883858
239,6.960252903809305e-06,-0.01410243846476078
240,1.2251377938810037e-06,-0.013672580942511559
241,1.922693172673462e-06,-0.014208081178367138
242,6.462011697294656e-06,-0.014239960350096226
243,0.0004092999442946166,-0.009592076763510704
244,4.9349346227245405e-06,-0.03024270012974739
245,8.778023766353726e-05,-0.012284364551305771
246,5.128749762661755e-05,-0.01315450668334961
247,2.276154191349633e-06,-0.014175388030707836
248,7.09508967702277e-05,-0.014007478021085262
249,0.00035360545734874904,-0.01306882780045271
250,4.251928203302668e-06,-0.014297720976173878
251,1.27859202621039e-05,-0.015026048757135868
252,0.00027345490525476635,-0.013959929347038269
253,0.00010004489740822464,-0.014065500348806381
